statenum,casenum,acchr,latitude,longitude,numfatal,age
25,166,13,41.64914722,-70.92753333,1,25
25,167,23,42.11384444,-71.39586111,1,17
25,168,11,41.96210833,-70.66828056,1,75
25,169,3,42.57459167,-71.71246111,1,23
25,170,8,41.70499167,-70.94337222,1,66
25,171,99,42.3948,-71.23678056,1,2
25,171,99,42.3948,-71.23678056,1,9
25,171,99,42.3948,-71.23678056,1,11
25,171,99,42.3948,-71.23678056,1,27
25,171,99,42.3948,-71.23678056,1,41
25,172,21,42.15535,-71.57170833,1,6
25,172,21,42.15535,-71.57170833,1,24
25,172,21,42.15535,-71.57170833,1,53
25,172,21,42.15535,-71.57170833,1,63
25,173,99,42.45197222,-71.02351667,1,24
25,174,10,42.01103333,-71.23065833,1,34
25,174,10,42.01103333,-71.23065833,1,37
25,174,10,42.01103333,-71.23065833,1,67
25,175,4,42.24650278,-71.475525,1,45
25,176,10,42.41244722,-70.99000556,1,21
25,177,18,42.36704167,-71.068975,2,35
25,177,18,42.36704167,-71.068975,2,36
25,178,23,41.71186389,-71.04565,1,20
25,178,23,41.71186389,-71.04565,1,21
25,179,18,42.20487778,-72.60979444,1,70
25,180,23,42.12490278,-72.626075,1,15
25,180,23,42.12490278,-72.626075,1,18
25,181,18,42.05805278,-71.40154167,1,22
25,182,3,41.98843611,-71.29302778,1,22
25,182,3,41.98843611,-71.29302778,1,25
25,182,3,41.98843611,-71.29302778,1,27
25,182,3,41.98843611,-71.29302778,1,30
25,182,3,41.98843611,-71.29302778,1,32
25,182,3,41.98843611,-71.29302778,1,49
25,182,3,41.98843611,-71.29302778,1,51
25,182,3,41.98843611,-71.29302778,1,60
25,182,3,41.98843611,-71.29302778,1,64
25,182,3,41.98843611,-71.29302778,1,65
25,182,3,41.98843611,-71.29302778,1,66
25,183,14,42.17260556,-73.272775,1,69
25,184,18,41.6482,-70.97022778,1,36
25,185,0,42.654175,-71.302325,2,20
25,185,0,42.654175,-71.302325,2,21
25,186,20,42.59491944,-71.28038611,1,30
25,187,18,41.67126944,-71.10166944,1,62
